"","Date","diff","Team","Rk"
"477",2010-03-28,-21,"San Antonio Spurs",7
"478",2010-03-31,-5,"Oklahoma City Thunder",27
"479",2010-04-02,-5,"Houston Rockets",6
"480",2010-04-04,4,"Cleveland Cavaliers",1
"481",2010-04-06,-3,"New York Knicks",21
"482",2010-04-07,11,"Toronto Raptors",23
"483",2010-04-09,-10,"Washington Wizards",28
"484",2010-04-10,15,"Milwaukee Bucks",19
"485",2010-04-13,-8,"Chicago Bulls",16
"486",2010-04-14,-11,"Milwaukee Bucks",19
"487",2010-10-26,8,"Miami Heat",13
"488",2010-10-27,-8,"Cleveland Cavaliers",2
"489",2010-10-29,4,"New York Knicks",23
"490",2010-11-02,23,"Detroit Pistons",27
"491",2010-11-03,3,"Milwaukee Bucks",14
"492",2010-11-05,5,"Chicago Bulls",19
"493",2010-11-07,9,"Oklahoma City Thunder",9
"494",2010-11-08,-2,"Dallas Mavericks",12
"495",2010-11-11,5,"Miami Heat",13
"496",2010-11-13,6,"Memphis Grizzlies",17
"497",2010-11-17,31,"Washington Wizards",26
"498",2010-11-19,-5,"Oklahoma City Thunder",9
"499",2010-11-21,-1,"Toronto Raptors",18
"500",2010-11-22,23,"Atlanta Hawks",7
"501",2010-11-24,6,"New Jersey Nets",30
"502",2010-11-26,9,"Toronto Raptors",18
"503",2010-11-30,19,"Cleveland Cavaliers",2
"504",2010-12-01,4,"Portland Trail Blazers",10
"505",2010-12-03,12,"Chicago Bulls",19
"506",2010-12-05,25,"New Jersey Nets",30
"507",2010-12-08,16,"Denver Nuggets",8
"508",2010-12-09,1,"Philadelphia 76ers",25
"509",2010-12-11,31,"Charlotte Bobcats",15
"510",2010-12-15,2,"New York Knicks",23
"511",2010-12-16,12,"Atlanta Hawks",7
"512",2010-12-19,11,"Indiana Pacers",21
"513",2010-12-22,4,"Philadelphia 76ers",25
"514",2010-12-25,-8,"Orlando Magic",1
"515",2010-12-28,12,"Indiana Pacers",21
"516",2010-12-29,-12,"Detroit Pistons",27
"517",2010-12-31,-2,"New Orleans Hornets",20
"518",2011-01-02,14,"Toronto Raptors",18
"519",2011-01-03,3,"Minnesota Timberwolves",29
"520",2011-01-05,2,"San Antonio Spurs",4
"521",2011-01-07,20,"Toronto Raptors",18
"522",2011-01-08,-11,"Chicago Bulls",19
"523",2011-01-10,-6,"Houston Rockets",16
"524",2011-01-12,24,"Sacramento Kings",24
"525",2011-01-14,5,"Charlotte Bobcats",15
"526",2011-01-17,3,"Orlando Magic",1
"527",2011-01-19,4,"Detroit Pistons",27
"528",2011-01-21,24,"Utah Jazz",3
"529",2011-01-22,-2,"Washington Wizards",26
"530",2011-01-25,17,"Cleveland Cavaliers",2
"531",2011-01-27,10,"Portland Trail Blazers",10
"532",2011-01-28,-17,"Phoenix Suns",6
"533",2011-01-30,13,"Los Angeles Lakers",5
"534",2011-02-01,5,"Sacramento Kings",24
"535",2011-02-04,-4,"Dallas Mavericks",12
"536",2011-02-06,11,"Orlando Magic",1
"537",2011-02-07,-5,"Charlotte Bobcats",15
"538",2011-02-10,-6,"Los Angeles Lakers",5
"539",2011-02-13,3,"Miami Heat",13
"540",2011-02-16,14,"New Jersey Nets",30
"541",2011-02-22,22,"Golden State Warriors",22
"542",2011-02-24,-14,"Denver Nuggets",8
"543",2011-02-26,7,"Los Angeles Clippers",28
"544",2011-02-28,5,"Utah Jazz",3
"545",2011-03-02,12,"Phoenix Suns",6
"546",2011-03-04,4,"Golden State Warriors",22
"547",2011-03-06,6,"Milwaukee Bucks",14
"548",2011-03-09,-5,"Los Angeles Clippers",28
"549",2011-03-11,-3,"Philadelphia 76ers",25
"550",2011-03-13,31,"Milwaukee Bucks",14
"551",2011-03-14,-9,"New Jersey Nets",30
"552",2011-03-16,12,"Indiana Pacers",21
"553",2011-03-18,-16,"Houston Rockets",16
"554",2011-03-19,4,"New Orleans Hornets",20
"555",2011-03-21,10,"New York Knicks",23
"556",2011-03-23,-3,"Memphis Grizzlies",17
"557",2011-03-25,-2,"Charlotte Bobcats",15
"558",2011-03-27,3,"Minnesota Timberwolves",29
"559",2011-03-28,-7,"Indiana Pacers",21
"560",2011-03-31,10,"San Antonio Spurs",4
"561",2011-04-01,-5,"Atlanta Hawks",7
"562",2011-04-03,11,"Detroit Pistons",27
"563",2011-04-05,17,"Philadelphia 76ers",25
"564",2011-04-07,-16,"Chicago Bulls",19
"565",2011-04-08,16,"Washington Wizards",26
"566",2011-04-10,-23,"Miami Heat",13
"567",2011-04-11,-1,"Washington Wizards",26
"568",2011-04-13,10,"New York Knicks",23
"569",2011-12-25,-2,"New York Knicks",15
"570",2011-12-27,-8,"Miami Heat",1
"571",2011-12-28,-19,"New Orleans Hornets",13
"572",2011-12-30,11,"Detroit Pistons",23
"573",2012-01-01,8,"Washington Wizards",29
"574",2012-01-02,8,"Washington Wizards",29
"575",2012-01-04,19,"New Jersey Nets",28
"576",2012-01-06,-13,"Indiana Pacers",19
"577",2012-01-11,-5,"Dallas Mavericks",8
"578",2012-01-13,-9,"Chicago Bulls",2
"579",2012-01-14,-14,"Indiana Pacers",19
"580",2012-01-16,-9,"Oklahoma City Thunder",9
"581",2012-01-18,23,"Toronto Raptors",27
"582",2012-01-20,-8,"Phoenix Suns",16
"583",2012-01-22,6,"Washington Wizards",29
"584",2012-01-23,31,"Orlando Magic",5
"585",2012-01-26,8,"Orlando Magic",5
"586",2012-01-27,7,"Indiana Pacers",19
"587",2012-01-29,-1,"Cleveland Cavaliers",30
"588",2012-01-31,3,"Cleveland Cavaliers",30
"589",2012-02-01,36,"Toronto Raptors",27
"590",2012-02-03,2,"New York Knicks",15
"591",2012-02-05,18,"Memphis Grizzlies",10
"592",2012-02-07,10,"Charlotte Bobcats",24
"593",2012-02-09,-1,"Los Angeles Lakers",3
"594",2012-02-10,-12,"Toronto Raptors",27
"595",2012-02-12,4,"Chicago Bulls",2
"596",2012-02-15,-10,"Detroit Pistons",23
"597",2012-02-16,-9,"Chicago Bulls",2
"598",2012-02-19,-15,"Detroit Pistons",23
"599",2012-02-20,-16,"Dallas Mavericks",8
"600",2012-02-22,-15,"Oklahoma City Thunder",9
"601",2012-02-28,3,"Cleveland Cavaliers",30
"602",2012-02-29,6,"Milwaukee Bucks",17
"603",2012-03-02,13,"New Jersey Nets",28
"604",2012-03-04,4,"New York Knicks",15
"605",2012-03-06,5,"Houston Rockets",11
"606",2012-03-07,-32,"Philadelphia 76ers",14
"607",2012-03-09,18,"Portland Trail Blazers",12
"608",2012-03-11,-3,"Los Angeles Lakers",3
"609",2012-03-12,9,"Los Angeles Clippers",22
"610",2012-03-14,2,"Golden State Warriors",21
"611",2012-03-16,-25,"Sacramento Kings",25
"612",2012-03-17,-7,"Denver Nuggets",7
"613",2012-03-19,3,"Atlanta Hawks",18
"614",2012-03-22,9,"Milwaukee Bucks",17
"615",2012-03-23,-13,"Philadelphia 76ers",14
"616",2012-03-25,12,"Washington Wizards",29
"617",2012-03-26,7,"Charlotte Bobcats",24
"618",2012-03-28,12,"Utah Jazz",20
"619",2012-03-30,21,"Minnesota Timberwolves",26
"620",2012-04-01,19,"Miami Heat",1
"621",2012-04-04,-1,"San Antonio Spurs",4
"622",2012-04-05,-7,"Chicago Bulls",2
"623",2012-04-07,14,"Indiana Pacers",19
"624",2012-04-08,24,"Philadelphia 76ers",14
"625",2012-04-10,8,"Miami Heat",1
"626",2012-04-11,2,"Atlanta Hawks",18
"627",2012-04-13,-5,"Toronto Raptors",27
"628",2012-04-14,12,"New Jersey Nets",28
"629",2012-04-15,12,"Charlotte Bobcats",24
"630",2012-04-17,-8,"New York Knicks",15
"631",2012-04-18,4,"Orlando Magic",5
"632",2012-04-20,-5,"Atlanta Hawks",18
"633",2012-04-24,12,"Miami Heat",1
"634",2012-04-26,13,"Milwaukee Bucks",17
"635",2012-10-30,-13,"Miami Heat",4
"636",2012-11-02,-11,"Milwaukee Bucks",19
"637",2012-11-03,3,"Washington Wizards",26
"638",2012-11-07,6,"Washington Wizards",26
"639",2012-11-09,-6,"Philadelphia 76ers",5
"640",2012-11-10,4,"Milwaukee Bucks",19
"641",2012-11-12,6,"Chicago Bulls",1
"642",2012-11-14,5,"Utah Jazz",15
"643",2012-11-17,18,"Toronto Raptors",24
"644",2012-11-18,-20,"Detroit Pistons",27
"645",2012-11-21,-12,"San Antonio Spurs",2
"646",2012-11-23,8,"Oklahoma City Thunder",3
"647",2012-11-25,6,"Orlando Magic",18
"648",2012-11-30,18,"Portland Trail Blazers",20
"649",2012-12-01,-3,"Milwaukee Bucks",19
"650",2012-12-05,10,"Minnesota Timberwolves",21
"651",2012-12-07,-1,"Philadelphia 76ers",5
"652",2012-12-08,13,"Philadelphia 76ers",5
"653",2012-12-12,2,"Dallas Mavericks",14
"654",2012-12-14,-12,"Houston Rockets",16
"655",2012-12-15,-15,"San Antonio Spurs",2
"656",2012-12-18,-11,"Chicago Bulls",1
"657",2012-12-19,12,"Cleveland Cavaliers",29
"658",2012-12-21,-5,"Milwaukee Bucks",19
"659",2012-12-27,-29,"Los Angeles Clippers",7
"660",2012-12-29,-18,"Golden State Warriors",22
"661",2012-12-30,-22,"Sacramento Kings",25
"662",2013-01-02,-10,"Memphis Grizzlies",11
"663",2013-01-04,19,"Indiana Pacers",8
"664",2013-01-05,8,"Atlanta Hawks",9
"665",2013-01-07,6,"New York Knicks",10
"666",2013-01-09,8,"Phoenix Suns",17
"667",2013-01-11,12,"Houston Rockets",16
"668",2013-01-14,11,"Charlotte Bobcats",30
"669",2013-01-16,-12,"New Orleans Hornets",23
"670",2013-01-18,-1,"Chicago Bulls",1
"671",2013-01-20,-15,"Detroit Pistons",27
"672",2013-01-22,-5,"Cleveland Cavaliers",29
"673",2013-01-24,-3,"New York Knicks",10
"674",2013-01-25,-12,"Atlanta Hawks",9
"675",2013-01-27,2,"Miami Heat",4
"676",2013-01-30,18,"Sacramento Kings",25
"677",2013-02-01,13,"Orlando Magic",18
"678",2013-02-03,2,"Los Angeles Clippers",7
"679",2013-02-06,4,"Toronto Raptors",24
"680",2013-02-07,21,"Los Angeles Lakers",13
"681",2013-02-10,4,"Denver Nuggets",6
"682",2013-02-11,-3,"Charlotte Bobcats",30
"683",2013-02-13,2,"Chicago Bulls",1
"684",2013-02-19,-7,"Denver Nuggets",6
"685",2013-02-20,-14,"Los Angeles Lakers",13
"686",2013-02-22,25,"Phoenix Suns",17
"687",2013-02-24,-6,"Portland Trail Blazers",20
"688",2013-02-25,3,"Utah Jazz",15
"689",2013-03-01,8,"Golden State Warriors",22
"690",2013-03-05,8,"Philadelphia 76ers",5
"691",2013-03-06,2,"Indiana Pacers",8
"692",2013-03-08,5,"Atlanta Hawks",9
"693",2013-03-10,-12,"Oklahoma City Thunder",3
"694",2013-03-12,-26,"Charlotte Bobcats",30
"695",2013-03-13,24,"Toronto Raptors",24
"696",2013-03-16,17,"Charlotte Bobcats",30
"697",2013-03-18,-2,"Miami Heat",4
"698",2013-03-20,-1,"New Orleans Hornets",23
"699",2013-03-22,-10,"Dallas Mavericks",14
"700",2013-03-23,-4,"Memphis Grizzlies",11
"701",2013-03-26,-15,"New York Knicks",10
"702",2013-03-27,1,"Cleveland Cavaliers",29
"703",2013-03-29,11,"Atlanta Hawks",9
"704",2013-03-31,-19,"New York Knicks",10
"705",2013-04-01,-10,"Minnesota Timberwolves",21
"706",2013-04-03,5,"Detroit Pistons",27
"707",2013-04-05,-6,"Cleveland Cavaliers",29
"708",2013-04-07,11,"Washington Wizards",26
"709",2013-04-12,-8,"Miami Heat",4
"710",2013-04-13,32,"Orlando Magic",18
"711",2013-04-17,-24,"Toronto Raptors",24
"712",2013-10-30,-6,"Toronto Raptors",18
"713",2013-11-01,-7,"Milwaukee Bucks",20
"714",2013-11-03,-10,"Detroit Pistons",26
"715",2013-11-04,-7,"Memphis Grizzlies",6
"716",2013-11-06,10,"Utah Jazz",13
"717",2013-11-08,2,"Orlando Magic",29
"718",2013-11-09,1,"Miami Heat",2
"719",2013-11-11,15,"Orlando Magic",29
"720",2013-11-13,-6,"Charlotte Bobcats",30
"721",2013-11-15,-13,"Portland Trail Blazers",21
"722",2013-11-16,-18,"Minnesota Timberwolves",19
"723",2013-11-19,-24,"Houston Rockets",8
"724",2013-11-20,-11,"San Antonio Spurs",3
"725",2013-11-22,-15,"Indiana Pacers",9
"726",2013-11-23,7,"Atlanta Hawks",16
"727",2013-11-25,10,"Charlotte Bobcats",30
"728",2013-11-27,-7,"Memphis Grizzlies",6
"729",2013-11-29,17,"Cleveland Cavaliers",27
"730",2013-11-30,-7,"Milwaukee Bucks",20
"731",2013-12-03,8,"Milwaukee Bucks",20
"732",2013-12-06,8,"Denver Nuggets",5
"733",2013-12-08,41,"New York Knicks",7
"734",2013-12-10,-8,"Brooklyn Nets",12
"735",2013-12-11,-8,"Los Angeles Clippers",4
"736",2013-12-13,4,"New York Knicks",7
"737",2013-12-16,4,"Minnesota Timberwolves",19
"738",2013-12-18,-1,"Detroit Pistons",26
"739",2013-12-21,-7,"Washington Wizards",22
"740",2013-12-22,-27,"Indiana Pacers",9
"741",2013-12-28,3,"Cleveland Cavaliers",27
"742",2013-12-31,-1,"Atlanta Hawks",16
"743",2014-01-02,-12,"Chicago Bulls",14
"744",2014-01-05,-23,"Oklahoma City Thunder",1
"745",2014-01-07,-31,"Denver Nuggets",5
"746",2014-01-08,-6,"Los Angeles Clippers",4
"747",2014-01-10,-2,"Golden State Warriors",11
"748",2014-01-11,-8,"Portland Trail Blazers",21
"749",2014-01-13,-12,"Houston Rockets",8
"750",2014-01-15,5,"Toronto Raptors",18
"751",2014-01-17,-3,"Los Angeles Lakers",10
"752",2014-01-19,-2,"Orlando Magic",29
"753",2014-01-21,-7,"Miami Heat",2
"754",2014-01-22,2,"Washington Wizards",22
"755",2014-01-24,-18,"Oklahoma City Thunder",1
"756",2014-01-26,-6,"Brooklyn Nets",12
"757",2014-01-28,-26,"New York Knicks",7
"758",2014-01-29,-1,"Philadelphia 76ers",24
"759",2014-02-02,7,"Orlando Magic",29
"760",2014-02-05,6,"Philadelphia 76ers",24
"761",2014-02-07,10,"Sacramento Kings",25
"762",2014-02-09,-11,"Dallas Mavericks",15
"763",2014-02-10,16,"Milwaukee Bucks",20
"764",2014-02-12,-12,"San Antonio Spurs",3
"765",2014-02-19,-6,"Phoenix Suns",28
"766",2014-02-21,-9,"Los Angeles Lakers",10
"767",2014-02-22,-7,"Sacramento Kings",25
"768",2014-02-24,-12,"Utah Jazz",13
"769",2014-02-26,11,"Atlanta Hawks",16
"770",2014-03-01,-5,"Indiana Pacers",9
"771",2014-03-05,-20,"Golden State Warriors",11
"772",2014-03-07,7,"Brooklyn Nets",12
"773",2014-03-09,7,"Detroit Pistons",26
"774",2014-03-11,-11,"Indiana Pacers",9
"775",2014-03-12,-24,"New York Knicks",7
"776",2014-03-14,-7,"Phoenix Suns",28
"777",2014-03-17,-5,"Dallas Mavericks",15
"778",2014-03-19,5,"Miami Heat",2
"779",2014-03-21,-16,"Brooklyn Nets",12
"780",2014-03-26,-9,"Toronto Raptors",18
"781",2014-03-28,-2,"Toronto Raptors",18
"782",2014-03-30,-5,"Chicago Bulls",14
"783",2014-03-31,-14,"Chicago Bulls",14
"784",2014-04-02,-26,"Washington Wizards",22
"785",2014-04-04,-9,"Philadelphia 76ers",24
"786",2014-04-05,-4,"Detroit Pistons",26
"787",2014-04-09,-8,"Atlanta Hawks",16
"788",2014-04-11,3,"Charlotte Bobcats",30
"789",2014-04-12,12,"Cleveland Cavaliers",27
"790",2014-04-14,-5,"Philadelphia 76ers",24
"791",2014-04-16,-16,"Washington Wizards",22
"792",2014-10-29,16,"Brooklyn Nets",20
"793",2014-11-01,-14,"Houston Rockets",5
"794",2014-11-03,-5,"Dallas Mavericks",9
"795",2014-11-05,-3,"Toronto Raptors",12
"796",2014-11-07,3,"Indiana Pacers",8
"797",2014-11-08,5,"Chicago Bulls",14
"798",2014-11-12,-15,"Oklahoma City Thunder",3
"799",2014-11-14,-1,"Cleveland Cavaliers",23
"800",2014-11-17,-4,"Phoenix Suns",11
"801",2014-11-19,11,"Philadelphia 76ers",30
"802",2014-11-21,-17,"Memphis Grizzlies",13
"803",2014-11-23,-6,"Portland Trail Blazers",7
"804",2014-11-28,-7,"Chicago Bulls",14
"805",2014-11-30,-22,"San Antonio Spurs",1
"806",2014-12-02,-4,"Atlanta Hawks",16
"807",2014-12-03,7,"Detroit Pistons",24
"808",2014-12-05,17,"Los Angeles Lakers",25
"809",2014-12-07,8,"Washington Wizards",15
"810",2014-12-08,-1,"Washington Wizards",15
"811",2014-12-12,-6,"New York Knicks",18
"812",2014-12-15,18,"Philadelphia 76ers",30
"813",2014-12-17,17,"Orlando Magic",27
"814",2014-12-19,16,"Minnesota Timberwolves",10
"815",2014-12-21,-16,"Miami Heat",6
"816",2014-12-23,-5,"Orlando Magic",27
"817",2014-12-26,-2,"Brooklyn Nets",20
"818",2014-12-27,-13,"Washington Wizards",15
"819",2014-12-31,22,"Sacramento Kings",22
"820",2015-01-02,-18,"Dallas Mavericks",9
"821",2015-01-03,-5,"Chicago Bulls",14
"822",2015-01-07,8,"Brooklyn Nets",20
"823",2015-01-09,-4,"Indiana Pacers",8
"824",2015-01-10,-13,"Toronto Raptors",12
"825",2015-01-12,8,"New Orleans Pelicans",21
"826",2015-01-14,-14,"Atlanta Hawks",16
"827",2015-01-16,-16,"Chicago Bulls",14
"828",2015-01-19,-9,"Los Angeles Clippers",2
"829",2015-01-22,1,"Portland Trail Blazers",7
"830",2015-01-23,1,"Denver Nuggets",19
"831",2015-01-25,-3,"Golden State Warriors",4
"832",2015-01-26,9,"Utah Jazz",28
"833",2015-01-28,-12,"Minnesota Timberwolves",10
"834",2015-01-30,-6,"Houston Rockets",5
"835",2015-02-01,-8,"Miami Heat",6
"836",2015-02-03,11,"New York Knicks",18
"837",2015-02-04,4,"Denver Nuggets",19
"838",2015-02-06,11,"Philadelphia 76ers",30
"839",2015-02-07,-3,"Milwaukee Bucks",29
"840",2015-02-11,1,"Atlanta Hawks",16
"841",2015-02-20,-8,"Sacramento Kings",22
"842",2015-02-22,-7,"Los Angeles Lakers",25
"843",2015-02-23,5,"Phoenix Suns",11
"844",2015-02-25,21,"New York Knicks",18
"845",2015-03-01,-5,"Golden State Warriors",4
"846",2015-03-03,-31,"Cleveland Cavaliers",23
"847",2015-03-04,1,"Utah Jazz",28
"848",2015-03-06,6,"New Orleans Pelicans",21
"849",2015-03-08,-5,"Orlando Magic",27
"850",2015-03-09,10,"Miami Heat",6
"851",2015-03-11,3,"Memphis Grizzlies",13
"852",2015-03-13,7,"Orlando Magic",27
"853",2015-03-14,4,"Indiana Pacers",8
"854",2015-03-16,19,"Philadelphia 76ers",30
"855",2015-03-18,-4,"Oklahoma City Thunder",3
"856",2015-03-20,-12,"San Antonio Spurs",1
"857",2015-03-22,-8,"Detroit Pistons",24
"858",2015-03-23,19,"Brooklyn Nets",20
"859",2015-03-25,-7,"Miami Heat",6
"860",2015-03-27,4,"New York Knicks",18
"861",2015-03-29,-13,"Los Angeles Clippers",2
"862",2015-04-01,13,"Indiana Pacers",8
"863",2015-04-03,-9,"Milwaukee Bucks",29
"864",2015-04-04,1,"Toronto Raptors",12
"865",2015-04-08,10,"Detroit Pistons",24
"866",2015-04-10,9,"Cleveland Cavaliers",23
"867",2015-04-12,39,"Cleveland Cavaliers",23
"868",2015-04-14,2,"Toronto Raptors",12
"869",2015-04-15,5,"Milwaukee Bucks",29
"870",2015-10-28,17,"Philadelphia 76ers",29
"871",2015-10-30,-10,"Toronto Raptors",11
"872",2015-11-01,-8,"San Antonio Spurs",3
"873",2015-11-04,-2,"Indiana Pacers",16
"874",2015-11-06,20,"Washington Wizards",15
"875",2015-11-10,16,"Milwaukee Bucks",17
"876",2015-11-11,-11,"Indiana Pacers",16
"877",2015-11-13,13,"Atlanta Hawks",4
"878",2015-11-15,15,"Oklahoma City Thunder",12
"879",2015-11-16,16,"Houston Rockets",7
"880",2015-11-18,-4,"Dallas Mavericks",9
"881",2015-11-20,25,"Brooklyn Nets",23
"882",2015-11-22,-10,"Brooklyn Nets",23
"883",2015-11-24,-24,"Atlanta Hawks",4
"884",2015-11-25,4,"Philadelphia 76ers",29
"885",2015-11-27,33,"Washington Wizards",15
"886",2015-11-29,-19,"Orlando Magic",26
"887",2015-11-30,10,"Miami Heat",24
"888",2015-12-03,17,"Sacramento Kings",22
"889",2015-12-05,-3,"San Antonio Spurs",3
"890",2015-12-07,18,"New Orleans Pelicans",13
"891",2015-12-09,5,"Chicago Bulls",10
"892",2015-12-11,-5,"Golden State Warriors",1
"893",2015-12-12,5,"Charlotte Hornets",25
"894",2015-12-15,-12,"Cleveland Cavaliers",6
"895",2015-12-16,-3,"Detroit Pistons",20
"896",2015-12-18,-8,"Atlanta Hawks",4
"897",2015-12-21,14,"Minnesota Timberwolves",28
"898",2015-12-23,13,"Charlotte Hornets",25
"899",2015-12-26,6,"Detroit Pistons",20
"900",2015-12-27,9,"New York Knicks",30
"901",2015-12-30,-8,"Los Angeles Lakers",27
"902",2016-01-02,-3,"Brooklyn Nets",23
"903",2016-01-04,9,"Brooklyn Nets",23
"904",2016-01-06,-5,"Detroit Pistons",20
"905",2016-01-07,-9,"Chicago Bulls",10
"906",2016-01-10,-3,"Memphis Grizzlies",8
"907",2016-01-12,-6,"New York Knicks",30
"908",2016-01-13,9,"Indiana Pacers",16
"909",2016-01-15,14,"Phoenix Suns",18
"910",2016-01-16,2,"Washington Wizards",15
"911",2016-01-18,-5,"Dallas Mavericks",9
"912",2016-01-20,-6,"Toronto Raptors",11
"913",2016-01-22,9,"Chicago Bulls",10
"914",2016-01-24,20,"Philadelphia 76ers",29
"915",2016-01-25,25,"Washington Wizards",15
"916",2016-01-27,8,"Denver Nuggets",21
"917",2016-01-29,19,"Orlando Magic",26
"918",2016-01-31,-5,"Orlando Magic",26
"919",2016-02-02,8,"New York Knicks",30
"920",2016-02-03,7,"Detroit Pistons",20
"921",2016-02-05,1,"Cleveland Cavaliers",6
"922",2016-02-07,9,"Sacramento Kings",22
"923",2016-02-09,-1,"Milwaukee Bucks",17
"924",2016-02-10,5,"Los Angeles Clippers",2
"925",2016-02-19,-18,"Utah Jazz",14
"926",2016-02-21,20,"Denver Nuggets",21
"927",2016-02-22,-2,"Minnesota Timberwolves",28
"928",2016-02-25,5,"Milwaukee Bucks",17
"929",2016-02-27,12,"Miami Heat",24
"930",2016-02-29,5,"Utah Jazz",14
"931",2016-03-02,23,"Portland Trail Blazers",5
"932",2016-03-04,1,"New York Knicks",30
"933",2016-03-05,-17,"Cleveland Cavaliers",6
"934",2016-03-09,20,"Memphis Grizzlies",8
"935",2016-03-11,-4,"Houston Rockets",7
"936",2016-03-15,-5,"Indiana Pacers",16
"937",2016-03-16,-21,"Oklahoma City Thunder",12
"938",2016-03-18,-14,"Toronto Raptors",11
"939",2016-03-20,15,"Philadelphia 76ers",29
"940",2016-03-21,11,"Orlando Magic",26
"941",2016-03-23,12,"Toronto Raptors",11
"942",2016-03-26,3,"Phoenix Suns",18
"943",2016-03-28,-24,"Los Angeles Clippers",2
"944",2016-03-31,-7,"Portland Trail Blazers",5
"945",2016-04-01,3,"Golden State Warriors",1
"946",2016-04-03,7,"Los Angeles Lakers",27
"947",2016-04-06,7,"New Orleans Pelicans",13
"948",2016-04-08,15,"Milwaukee Bucks",17
"949",2016-04-09,-11,"Atlanta Hawks",4
"950",2016-04-11,-14,"Charlotte Hornets",25
"951",2016-04-13,10,"Miami Heat",24
